,company,description,location,post_date,salary,title,temp,city,temp1,state
315,Coupang,Collaborate with other data scientists to formulate innovative solutions to experiment and implement advanced data mining techniques and algorithms....,"Palo Alto, CA",14 days ago,,Principle Data Scientist (Fraud Protection),"[u'Palo Alto', u' CA']",Palo Alto,[u' CA'],CA
316,LexisNexis,"The incumbent will have a firm understanding of data mining, statistical methods, and multiple modeling/scoring techniques....","Alpharetta, GA 30005",21 days ago,,Associate Statistical Modeler,"[u'Alpharetta', u' GA 30005']",Alpharetta,[u' GA 30005'],GA
317,"ReproSource Fertility Diagnostics, Inc.","Review, interpret, integrate, and present data on assigned studies with minimal assistance. Serve as a scientist in the conduct of assigned nonclinical research...","Woburn, MA",21 days ago,,RESEARCH SCIENTIST,"[u'Woburn', u' MA']",Woburn,[u' MA'],MA
318,NewYork-Presbyterian/Columbia University Medical C...,That’s why we’re seeking a talented professional like you to join our collaborative team of clinical data scientists and quality improvement experts in NewYork...,"New York, NY",13 days ago,,Operations Analyst,"[u'New York', u' NY']",New York,[u' NY'],NY
319,Harvard Pilgrim Health Care,The Senior Data Scientist is accountable for providing innovative solutions driven by exploratory data analysis from complex and high-dimensional datasets....,"Wellesley, MA",5 days ago,,Senior Data Scientist,"[u'Wellesley', u' MA']",Wellesley,[u' MA'],MA
320,MONSANTO,"Responsibilities Develop and maintain data management systems including Labware LIMS and modern data and web frameworks like PostgreSQL, Django....","St. Louis, MO",24 days ago,,Data & Visual Analytics Engineer,"[u'St. Louis', u' MO']",St. Louis,[u' MO'],MO
321,"Zachary Piper, LLC","Piper Clinical Solutions is currently looking for a Senior Statistician to work in Cambridge, MA. The Senior Statistician will support a major clinical","Boston, MA",5 days ago,"<nobr>$110,000 - $145,000 a year</nobr>",Senior Statistician,"[u'Boston', u' MA']",Boston,[u' MA'],MA
322,Independent Health,"Understands data warehousing concepts and data architecture, such as table structures, metadata, etc. Understands different types of data, such as clinical,...","Buffalo, NY 14221",30+ days ago,,Research Analyst - Intermediate,"[u'Buffalo', u' NY 14221']",Buffalo,[u' NY 14221'],NY
323,Freedom Financial Network,"The Senior Data Scientist will:. We are experiencing explosive growth here at Freedom Financial Network, and we are seeking a Senior Data Scientist to join our...","San Mateo, CA 94402 (Beresford area)",1 day ago,,Senior Data Scientist,"[u'San Mateo', u' CA 94402 (Beresford area)']",San Mateo,[u' CA 94402 (Beresford area)'],CA
324,University of Chicago,"Staff Scientist - Shuman Lab:. Prepares presentation materials derived from experiments and data analysis. Plans, executes, facilitates and promotes advanced...","Chicago, IL",16 hours ago,,Staff Scientist - Shuman Lab,"[u'Chicago', u' IL']",Chicago,[u' IL'],IL
325,EGS Inc.,"RFQ # 291047 Senior Scientists. Collect and analyze data to identify performance trends. Is seeking a Senior Scientist for our Client in Aiken, SC!...","Aiken, SC",29 days ago,,Senior Scientist,"[u'Aiken', u' SC']",Aiken,[u' SC'],SC
326,"Quantum Applied Science and Research (QUASAR), Inc...","Level scientists and engineers. EEG data collection, analysis and interpretation. Ability to operate in several technical domains including electronics and...","San Diego, CA 92121",8 days ago,,Research Scientist,"[u'San Diego', u' CA 92121']",San Diego,[u' CA 92121'],CA
327,iRhythm,Develop data fusion algorithms for analyzing signal data from multiple sensors. We are looking for a data scientist / machine learning engineer to help develop...,"San Francisco, CA",4 days ago,,Data Scientist/Machine Learning Engineer,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
328,Workbridge Associates,The data scientists will collect data from the sources other than clinical trials and develop algorithms to study the data and improve drug manufacturing....,"San Francisco, CA",1 day ago,"<nobr>$130,000 - $170,000 a year</nobr>",Senior Data Scientist,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
329,VISITING NURSE SERVICE OF NEW YORK,Experience with data extraction and manipulation required. Minimum of three years progressive experience performing increasingly complex data analysis and...,"Manhattan, NY",19 days ago,,"Statistical Analyst, CHOICE","[u'Manhattan', u' NY']",Manhattan,[u' NY'],NY
330,iProspect,"Reports to Manager, Data Analytics. Collaborate with other departments within the D&I team including forecasting, attribution, data engineering, site analytics,...","Cary, NC",8 days ago,,"Analyst, Analytics Research","[u'Cary', u' NC']",Cary,[u' NC'],NC
331,Société Générale,"Based on the risk model, stress test or risk process documentation and data, and using its technical skills and critical spirit the auditor will benchmark and...","New York, NY",18 days ago,,Quantitative Analyst (Regulatory Models),"[u'New York', u' NY']",New York,[u' NY'],NY
332,Flexion Therapeutics,"Present data at CMC meetings and to management. In February 2016, we announced positive data from our Phase 3 study of our lead product candidate, Zilretta™...","Burlington, MA 01803",9 days ago,,"Scientist, CMC Operations","[u'Burlington', u' MA 01803']",Burlington,[u' MA 01803'],MA
333,Mental Health Center of Denver,Advise the Data Developer with regard to creation of data tables and make other data warehouse updates needed for completion of projects....,"Denver, CO 80201",21 days ago,"<nobr>$70,000 - $80,000 a year</nobr>",Financial Data Scientist,"[u'Denver', u' CO 80201']",Denver,[u' CO 80201'],CO
334,MD ANDERSON CANCER CENTER,"Assesses relevant literature as well as existing data, evaluates the quality of data used in reports and assists with preparation and distribution of data for...","Houston, TX",18 days ago,,Research Statistical Analyst,"[u'Houston', u' TX']",Houston,[u' TX'],TX
335,The Climate Corporation,"Build and maintain the core data model, ETL/ELT, core data metrics and data quality. We are looking for a Data Engineer to not only build data pipelines to...","San Francisco, CA",7 days ago,,Data Engineer,"[u'San Francisco', u' CA']",San Francisco,[u' CA'],CA
336,Credit Acceptance,Analyze data to drive better business decisions. Develop complex programming to extract and manipulate data. Test and implement models and data infrastructure...,"Southfield, MI",30+ days ago,,Predictive Modeler/Sr Predictive Modeler (Statistician),"[u'Southfield', u' MI']",Southfield,[u' MI'],MI
337,Charles River,"Perform tabulation and statistical analyses of study data, as required. Ensure that reports, raw data specimens, and supporting study documentation are...","Shrewsbury, MA",8 days ago,,Senior Scientist,"[u'Shrewsbury', u' MA']",Shrewsbury,[u' MA'],MA
338,Denali,"In anticipation of the Company’s growth plans, Denali Therapeutics is seeking to recruit a Scientist/ Senior Scientist focusing on using bioinformatics to...","South San Francisco, CA",30+ days ago,,"Scientist/Sr. Scientist, Bioinformatics","[u'South San Francisco', u' CA']",South San Francisco,[u' CA'],CA
339,Swatcloud,"Looking for a junior data scientist for our first-of-its-kind sales analytics platform, which combines a proprietary, active-learning network with applications...","San Ramon, CA",30+ days ago,,Jr.Data Scientist,"[u'San Ramon', u' CA']",San Ramon,[u' CA'],CA
340,Health Catalyst,"Director of Data Science. We expect you to be the type of data scientist that is willing to reach out to the world’s best for guidance, when necessary....","Salt Lake City, UT",30+ days ago,,Data Scientist,"[u'Salt Lake City', u' UT']",Salt Lake City,[u' UT'],UT
341,All-In Analytics,"Consumer survey data, consumer behavior data, transactional sales data, id digital patterns, brand marketing activities, email campaigns, SEO campaigns,...","Modesto, CA",9 days ago,"<nobr>$80,000 - $100,000 a year</nobr>",Digital Statistician,"[u'Modesto', u' CA']",Modesto,[u' CA'],CA
342,Verizon,"As a Senior Data Scientist at Verizon, you’ll create analytical models to predict customer behavior or business events....","Orangeburg, NY 10962",15 days ago,,Senior Data Scientist,"[u'Orangeburg', u' NY 10962']",Orangeburg,[u' NY 10962'],NY
343,"EmployVision, Inc","Data Scientist and Managing Strategy Consultant*. Data analytics and modeling, data visualization, business acumen and strategy....","New York, NY",20 days ago,,Data Scientist : Managing Strategy & Analytics,"[u'New York', u' NY']",New York,[u' NY'],NY
344,University of Miami,Conduct routine data checks to ensure data integrity. Develop and implement strategies for real-time data QC....,"Coral Gables, FL",15 days ago,"<nobr>$32,900 a year</nobr>",Statistical Programmer / Sr. Statistical Programmer,"[u'Coral Gables', u' FL']",Coral Gables,[u' FL'],FL
345,J & J Consumer Inc.,"The Senior Scientist will:. The Senior Scientist will have experience in real world data and have an excellent statistical background, with broad knowledge of...",New Jersey,30+ days ago,,"Senior Scientist, Data Sciences",[u'New Jersey'],New Jersey,[],
346,Weill Cornell Medical College,"Performs MRI scanning and analyses the data. Requires and checks the data generated by other units (Pathology, Toxicology etc.)....","New York, NY",5 days ago,,Research Specialist,"[u'New York', u' NY']",New York,[u' NY'],NY
347,Google,The Data Infrastructure & Analysis (DIA) team builds end-to-end data processing systems that serve the data management and analysis needs of all applications in...,"Mountain View, CA",1 day ago,,Data Infrastructure & Analysis Software Engineer,"[u'Mountain View', u' CA']",Mountain View,[u' CA'],CA
348,Diverse Lynx,"Job Title - Data Scientist with Spark. Executes on Big Data requests to improve the accuracy, quality, completeness, speed of data, and decisions made from Big...","Brooklyn, NY",22 days ago,,Data Scientist with Spark,"[u'Brooklyn', u' NY']",Brooklyn,[u' NY'],NY
349,"Ruckus Wireless, Inc","Develop new dashboards and data collection methods. Strong foundation in data structures, computational algorithms and software implementation....","Sunnyvale, CA",8 days ago,,Principal Data Scientist,"[u'Sunnyvale', u' CA']",Sunnyvale,[u' CA'],CA
350,Workbridge Associates,Big data with Hadoop is a plus. A well-respected healthcare corporation that spun off of a major hospital and university is hiring for a Mid-Level Data...,"Chicago, IL",9 days ago,"<nobr>$80,000 - $110,000 a year</nobr>",Data Scientist,"[u'Chicago', u' IL']",Chicago,[u' IL'],IL
351,CareFusion,"Data Scientist (Principal Scientist, Product Development). Job Description Data Scientist (Principal Scientist, Product Development) Description Life-changers...","San Diego, CA 92130",5 days ago,,"Data Scientist (Principal Scientist, Product Development)","[u'San Diego', u' CA 92130']",San Diego,[u' CA 92130'],CA
352,Keysight Technologies,"Experience with big data technologies such as Hadoop, NoSQL databases, etc. Strong computer science and mathematics grounding, with knowledge of data structures...","Santa Clara, CA",17 days ago,,Computer Science Researcher,"[u'Santa Clara', u' CA']",Santa Clara,[u' CA'],CA
353,"Liebowitz Law Firm, PLLC","Young, Long Island law firm seeks self-motivated individuals who thrive in a fast-paced environment. Responsibilities:  - Perform investigative research","Valley Stream, NY",9 days ago,,Research Analyst - Entry Level,"[u'Valley Stream', u' NY']",Valley Stream,[u' NY'],NY
354,Aetna,"Aetna continues to build a world-class Data Science organization to capture data, understand context, generate insights and react in real time....","Hartford, CT 06156",12 days ago,,Senior Data Scientist,"[u'Hartford', u' CT 06156']",Hartford,[u' CT 06156'],CT
355,Quantlab Financial,Extracting new options trading signals from existing high frequency data. Quantlab is looking for an experienced Quantitative Research Scientist – Options...,"Houston, TX",23 days ago,,Quantitative Research Scientist - Options Strategist,"[u'Houston', u' TX']",Houston,[u' TX'],TX
356,Total Quality Logistics (TQL),"Prepare analysis data sets, tables, listings, graphs, and statistical analyses. Identify and request new areas for data collection to support ongoing or future...","Cincinnati, OH 45245",19 days ago,,Data Analyst - Statistician,"[u'Cincinnati', u' OH 45245']",Cincinnati,[u' OH 45245'],OH
357,Overpass LLC.,We’re looking to hire a Data Scientist with machine learning and software development experience. Experience with large data sets....,"Newark, NJ 07102 (Central Business District area)",30+ days ago,,Data Scientist Job Description,"[u'Newark', u' NJ 07102 (Central Business District area)']",Newark,[u' NJ 07102 (Central Business District area)'],NJ
